ID,PlaceName,StreetAddress,VenueType,Clientele,Notes,YearsOpen,Year,CityTown,State,Latitude,Longitude
19,Decatur News,941 Decatur,Store,Male,,,1978,New Orleans,LA,29.959091,-90.060828
20,Dirty Dottie's Cleaners,826 N. Rampart St,Store,N/A,'good source for local info' Damron '78,,1978,New Orleans,LA,29.961532,-90.067303
21,Fat Sam's,940 Conti,Bar,Male,,,1978,New Orleans,LA,29.957212,-90.06928
22,Fatted Calf,727 St Peter St,Restaurant,Mixed,,,1978,New Orleans,LA,29.958455,-90.065271
23,Finale II,642 N.Rampart St,Bar,Male,,,1978,New Orleans,LA,29.960313,-90.068384
24,Flamingo's Cafe & Bar,1625 St. Charles Ave.,Bar,Male,,,1978,New Orleans,LA,29.938089,-90.076691
25,Galley House,542 Chartres St,Bar,Male,,,1978,New Orleans,LA,29.956124,-90.064866
26,Golden Lantern,1239 Royal St,Bar,Male,,-Present,1978,New Orleans,LA,29.962737,-90.0606
27,Good Friends,740 Dauphine St,Bar,Mixed,,,1978,New Orleans,LA,29.959945,-90.065748
28,Grog Shop,718 N.Rampart,Bar,Mixed Gender,,,1978,New Orleans,LA,29.960733,-90.067993
29,Ichabod's,701 Bourbon St,Bar,Mixed,,,1978,New Orleans,LA,29.958715,-90.065675
30,Igor's Lounge and Game Room,2133 St. Charles Ave,Bar,Male,,,1978,New Orleans,LA,29.934565,-90.080534
31,Jewel's Tavern,1207 Decatur St.,Bar,Male,'cruisy''active 'john' in the back room',,1978,New Orleans,LA,29.960944,-90.059251
32,Lafitte Guest House,1003 Bourbon St.,Hotel/Motel,N/A,,,1978,New Orleans,LA,29.961263,-90.063553
33,Le Bistro,800 Bourbon St,Bar,Male,,,1978,New Orleans,LA,29.959493,-90.064741
34,Le Lido,704 Burgundy,Bar,Male,,,1978,New Orleans,LA,29.960288,-90.066919
35,Maxey's Coffee Pot,714 St Peter St.,Restaurant,Mixed,,,1978,New Orleans,LA,29.958152,-90.065155
36,Metropolitan Community Church,1934 Burgundy St,Church,Mixed Gender,,,1978,New Orleans,LA,29.966245,-90.059337
37,Ms Kitty's,740 Burgundy St,Bar,Mixed Gender,,,1978,New Orleans,LA,29.960546,-90.066685
38,Noble Arms Guest House,1006 Royal St.,Hotel,N/A,,,1978,New Orleans,LA,29.96046,-90.062301
39,Post Office,940 St Louis,Bar,Male,,,1978,New Orleans,LA,29.958144,-90.068855
40,Sidney's News Stand,917 Decatur,Store,Mixed,,,1978,New Orleans,LA,29.958816,-90.061063
41,Tortilla Flats,95 French Market Pl.,Restaurant,Mixed,,,1978,New Orleans,LA,29.961107,-90.058272
42,Touché Lounge,621 St Louis St,Bar,Mixed,Inside Royal Orleans Hotel,,1978,New Orleans,LA,29.956309,-90.065688
43,Travis's,835 N. Rampart St.,Bar,Male,,,1978,New Orleans,LA,29.961586,-90.067253
44,Travis II,820 N.Rampart St,Bar,Male,,,1978,New Orleans,LA,29.961496,-90.067336
45,Trinity's,4938 Prytania,Bar,Mixed,,,1978,New Orleans,LA,29.924379,-90.108782
46,Ursulines Guest House,708 Ursulines Ave,Hotel/Motel,N/A,,,1978,New Orleans,LA,29.961348,-90.062225
47,Vieux Carre Motor Lodge,920 N.Rampart St,Hotel/Motel,Mixed,,,1978,New Orleans,LA,29.962308,-90.066073
48,Wanda's,704 Iberville,Bar,Male,'raunchy types',,1978,New Orleans,LA,29.95412,-90.068435
49,After Dark Lounge,80 Asheland Ave,Bar,Male,,,1978,Asheville,NC,35.591304,-82.556335
50,Howard Johnsons,190 Hendersonville Rd.,Restaurant,Mixed,,,1978,Asheville,NC,35.56288,-82.54164
51,Herb's Lounge,228 Hunt St.,Bar,Male,,,1978,Durham,NC,36.000107,-78.900467
52,Tri State News,215 Chapel Hill St.,Store,Male,book store,,1978,Durham,NC,35.996888,-78.905509
53,Classic Cinema,3818 Brainerd Rd.,Adult Theatre,Male,,,1978,Chattanooga,TN,35.022163,-85.242075
54,Cross Keys,1129 Market St,Bar,Male,,,1978,Chattanooga,TN,35.043264,-85.309438
55,Go-Go Club,1077 Duncan Avenue,Bar,Male,,,1978,Chattanooga,TN,35.039633,-85.287247
56,Sambo's,4103 Dayton Rd.,Bar,Mixed,,,1978,Chattanooga,TN,35.123094,-85.286868
57,Tavern,107 W MLK Blvd,Bar,Mixed,in basement of Read House Hotel,,1978,Chattanooga,TN,35.045917,-85.311043
58,Long Branch Cafe,124 E.Market,Bar,N/A,,,1978,Johnson City,TN,36.317207,-82.35194
59,Battle Ax lounge,2000 Champan Hwy,Bar,Mixed,In Holiday inn Downtown,,1978,Knoxville,TN,35.95419,-83.915997
60,Carousel,1501 White Ave.,Bar,Male,,,1978,Knoxville,TN,35.958997,-83.929002
61,Europa,216 W. Main,Bar,Male,,,1978,Knoxville,TN,35.961999,-83.91542
62,Huddle,219 Cumberland Ave,Bar,Male,Noted as popular in Damron's address book,,1978,Knoxville,TN,35.962997,-83.91601
63,Jerry's,7811 Kingston Pike,Restaurant,Mixed,,,1978,Knoxville,TN,35.926645,-84.043029
64,Kingston Pike News,5005 Kingston Pike,Store,Mixed,,,1978,Knoxville,TN,35.939918,-83.987133
65,Knoxville Book Mart & Art Cinema,145 Gay St S.W,Store,Male,,,1978,Knoxville,TN,35.968341,-83.920432
66,Horoscope,203 4th St.,Bar,Mixed,,,1978,Roanoke,VA,37.272133,-79.948622
67,Last Straw,9 W. Salem Ave,Restaurant,Male,,,1978,Roanoke,VA,37.272547,-79.940657
68,Murphy's,415 1st st,Bar,Male,,,1978,Roanoke,VA,37.270451,-79.942502
69,Forty-One Forty-One,4141 St Charles Ave,Bar,Mixed,,,1978,New Orleans,LA,29.926882,-90.099616
70,Tigers,740 Burgundy,Bar,Male,,,1978,New Orleans,LA,29.960546,-90.066685
71,Travis II,820 N. Rampart St,Bar,Male,'Wild back room',,1978,New Orleans,LA,29.961496,-90.067336
72,Tree Tops,85 Patton Ave,Bar,Male,,,1978,Asheville,NC,35.594294,-82.555136
73,Centaur Phase II,Hwy 70,Bar,Male,,,1978,Hickory,NC,35.701843,-81.290203
77,Chopping Block,1017 Dumaine St.,Restaurant,Mixed,,,1978,New Orelans,LA,29.961705,-90.066136
78,Sudee’s Southern Comfort Restaurant and Bar,733 Toulouse,Restaurant,Mixed,,,1978,New Orleans,LA,29.957767,-90.066048






