ID,PlaceName,StreetAddress,VenueType,Clientele,Notes,YearsOpen,Year,CityTown,State,Latitude,Longitude
39,Rampart News,632 Rampart St,Unclear,N/A,,,1977,New Orleans,LA,29.960147,-90.068484
40,Ramrod Theatre,914 Decatur,Adult Theatre,Male,,,1977,New Orleans,LA,29.958395,-90.061169
41,Sidney's News Stand,917 Decatur,Store,Mixed,,,1977,New Orleans,LA,29.958816,-90.061063
42,Society Page,819 St Louis St.,Bar,Male,'raunchy types',,1977,New Orleans,LA,29.957524,-90.067308
43,Touché Lounge,621 St Louis St,Bar,Mixed,Inside Royal Orleans Hotel,,1977,New Orleans,LA,29.956309,-90.065688
44,Travis's,835 N. Rampart St.,Bar,Male,,,1977,New Orleans,LA,29.961586,-90.067253
45,Travis II,820 N.Rampart St,Bar,Male,,,1977,New Orleans,LA,29.961496,-90.067336
46,Ursulines Guest House,708 Ursulines Ave,Hotel/Motel,N/A,,,1977,New Orleans,LA,29.961348,-90.062225
47,Vieux Carre Motor Lodge,920 N.Rampart St,Hotel/Motel,Mixed,,,1977,New Orleans,LA,29.962308,-90.066073
48,Wanda's,704 Iberville,Bar,Male,'raunchy types',,1977,New Orleans,LA,29.95412,-90.068435
49,Y.M.C.A,936 Saint Charles Ave,Hotel/Motel,Mixed,,,1977,New Orleans,LA,29.943705,-90.071974
50,Zoo,400 Dauphine,Bar,Mixed,,,1977,New Orleans,LA,29.956923,-90.06852
51,After Dark Lounge,80 Asheland Ave,Bar,Male,,,1977,Asheville,NC,35.591304,-82.556335
52,Howard Johnsons,190 Hendersonville Rd.,Restaurant,Mixed,,,1977,Asheville,NC,35.56288,-82.54164
53,Blueberry Hill,3930 Durham - Chapel Hill Blvd.,Bar,Male,Durham's first explicitly gay gay bar,,1977,Durham,NC,35.970904,-78.956828
54,Herb's Lounge,228 Hunt St.,Bar,Male,,,1977,Durham,NC,36.000107,-78.900467
55,Swinger's Book Store,301 E.Chapel Hill St.,Store,Mixed,,,1977,Durham,NC,35.99716,-78.901575
56,Tri State News,215 Chapel Hill St.,Store,Male,book store,,1977,Durham,NC,35.996888,-78.905509
57,Classic Cinema,3818 Brainerd Rd.,Adult Theatre,Male,,,1977,Chattanooga,TN,35.022163,-85.242075
58,Go-Go Club,1077 Duncan Avenue,Bar,Male,,,1977,Chattanooga,TN,35.039633,-85.287247
59,Sambo's,4103 Dayton Rd.,Bar,Mixed,,,1977,Chattanooga,TN,35.123094,-85.286868
60,Tavern,107 W MLK Blvd,Bar,Mixed,in basement of Read House Hotel,,1977,Chattanooga,TN,35.045917,-85.311043
61,Shed,453 Parkway,Bar,Mixed,,,1977,Gatlinburg,TN,35.71611,-83.511258
62,Long Branch Cafe,124 E.Market,Bar,N/A,,,1977,Johnson City,TN,36.317207,-82.35194
66,Battle Ax lounge,2000 Champan Hwy,Bar,Mixed,In Holiday inn Downtown,,1977,Knoxville,TN,35.95419,-83.915997
67,Carousel,1501 White Ave.,Bar,Male,,,1977,Knoxville,TN,35.958997,-83.929002
68,Europa,216 W. Main,Bar,Male,,,1977,Knoxville,TN,35.961999,-83.91542
69,Huddle,219 Cumberland Ave,Bar,Male,Noted as popular in Damron's address book,,1977,Knoxville,TN,35.962997,-83.91601
70,Jerry's,7811 Kingston Pike,Restaurant,Mixed,,,1977,Knoxville,TN,35.926645,-84.043029
71,Horoscope,203 4th St.,Bar,Mixed,,,1977,Roanoke,VA,37.272133,-79.948622
72,Last Straw,9 W. Salem Ave,Restaurant,Male,,,1977,Roanoke,VA,37.272547,-79.940657
73,Krewe of Apollo Clubhouse, 632 Pirates Alley,Community Centre,Male,Mardi Gras Krewe Clubhouse,,1977,New Orleans,LA,29.958127,-90.06435
74,The Captain's Quarters,1251-53 Market St,Bar,Male,,,1977,Chattanooga,TN,35.040437,-85.308274
75,Tree Tops,85 Patton Ave,Bar,Male,,,1977,Asheville,NC,35.594294,-82.555136
76,Le Lido,704 Burgundy,Bar,Male,,,1977,New Orleans,LA,29.960288,-90.066919
77,Tulane News,3813 Tulane Ave.,Store,Male,,,1977,New Orleans,LA,29.967508,-90.102759
78,Airline News,1824 Airline,Store,Male,,,1977,New Orleans,LA,29.97395,-90.146585
79,The Connection,429 W. Walnut,Bar,Male,,,1977,Johnson City,TN,36.311728,-82.354423
80,Gay Service Center,2006 Burgundy St,Community Centre,Unisex,,,1977,New Orleans,LA,29.966328,-90.06044






